id_secteur;id_zone
3;4
3;33
3;39
3;77
3;147
3;1
3;20
3;60
3;95
3;59
3;36
3;24
3;34
3;50
3;80
3;135
3;148
3;145
3;146
3;84
3;94
3;102
3;103
3;110
3;111
3;112
3;113
3;127
3;144
3;37
3;52
4;77
4;75
4;17
4;91
4;47
4;27
4;28
4;29
4;177
4;176
4;90
4;87
4;89
4;150
4;156
4;179
6;58
6;3
6;199
6;64
6;0
6;66
6;67
6;76
6;19
6;32
6;77
6;81
6;141
6;43
6;2
6;73
6;65
6;68
6;69
6;57
6;143
6;5
6;10
6;6
6;200
6;62
6;194
6;50
6;84
6;85
6;160
6;184
6;202
6;195
6;196
6;185
6;188
6;38
6;128
6;131
6;132
6;133
6;129
6;150
6;155
6;190
6;189
6;182
6;183
6;186
6;74
6;187
6;86
1;193
1;4
1;39
1;192
1;95
1;59
1;152
1;93
1;30
1;55
1;48
1;49
1;104
1;80
1;148
1;84
1;151
1;94
1;100
1;101
1;167
1;168
1;109
1;107
1;108
1;113
1;114
1;116
1;119
1;120
1;121
1;122
1;115
1;123
1;144
1;154
1;161
1;162
1;166
1;173
1;163
1;164
1;165
5;46
5;45
5;4
5;9
5;11
5;18
5;81
5;141
5;153
5;56
5;152
5;6
5;31
5;44
5;48
5;61
5;63
5;51
5;50
5;82
5;84
5;151
5;100
5;130
5;131
5;136
5;137
5;138
5;139
5;140
5;149
5;150
5;191
2;13
2;4
2;41
2;77
2;106
2;21
2;53
2;40
2;23
2;60
2;198
2;70
2;71
2;72
2;95
2;175
2;178
2;8
2;14
2;15
2;16
2;7
2;12
2;36
2;25
2;26
2;54
2;22
2;24
2;35
2;96
2;177
2;42
2;50
2;92
2;176
2;78
2;135
2;124
2;79
2;158
2;159
2;98
2;99
2;102
2;103
2;125
2;197
2;126
2;181
2;127
2;142
2;169
2;172
2;174
2;170
2;171
2;179
2;83
2;105
2;117
2;118
2;88
2;180
2;134
2;52
2;97
2;157
